Country,Income_Level,Prompt_Type,LLM,Citation_ID,Author,Title,Year,Journal,DOI
United States,High Income,Seeking,Gemini-Flash-Lite,United States_Seeking_1,"Bates, M. J.",Information search tactics,1979,Information Processing & Management,10.1016/0306-4573(79)90006-0
United States,High Income,Seeking,Gemini-Flash-Lite,United States_Seeking_2,"Kuhlthau, C. C.",Information search process: A summary of research and implications for instruction and information policy,1991,Library Trends,10.1353/lib.1991.0030
United States,High Income,Seeking,Gemini-Flash-Lite,United States_Seeking_3,"Savolainen, R.",The sense-making approach: A framework for analysing information seeking and use,1995,Information Processing & Management,10.1016/0306-4573(95)00028-9
United States,High Income,Seeking,Gemini-Flash-Lite,United States_Seeking_4,"Case, D. O.","Looking for information: A survey of research on information seeking, needs, and behavior",2002,Academic Press,10.1016/B978-012163630-5/50002-0
United States,High Income,Seeking,Gemini-Flash-Lite,United States_Seeking_5,"Chatman, E. A.",The information world of retired women,1996,The Library Quarterly,10.1086/602705
United States,High Income,Seeking,Gemini-Flash-Lite,United States_Seeking_6,"Taylor, R. S.",Question-negotiation and information seeking in libraries,1968,College & Research Libraries,10.5860/crl.29.3.178
United States,High Income,Seeking,Gemini-Flash-Lite,United States_Seeking_7,"Vakkari, P.",Information seeking in context: A review of research on information seeking,2003,Annual Review of Information Science and Technology,10.1002/aris.1450370106
United States,High Income,Seeking,Gemini-Flash-Lite,United States_Seeking_8,"Marchionini, G.",Information seeking in electronic environments,1995,Cambridge University Press,10.1017/CBO9780511558045
United States,High Income,Seeking,Gemini-Flash-Lite,United States_Seeking_9,"Ingwersen, P.",Information retrieval interaction,1992,Taylor Graham,10.1007/978-94-011-2377-6
United States,High Income,Seeking,Gemini-Flash-Lite,United States_Seeking_10,"Hertzum, M.",The information-seeking practices of software developers,2002,Information Processing & Management,10.1016/S0306-4573(01)00045-8
United States,High Income,Seeking,Gemini-Flash-Lite,United States_Seeking_11,"Fisher, K. E., Erdelez, S., & McKechnie, L.",Theories of information behavior,2005,Information Today,10.1007/978-3-319-60907-5_2
United States,High Income,Seeking,Gemini-Flash-Lite,United States_Seeking_12,"Johnson, J. D.",Information seeking: An overview,1997,Annual Review of Information Science and Technology,10.1002/aris.1450320104
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_1,"Eisenberg, M. B. & Berkowitz, R. E.",Information literacy: Instruction for the information age,1999,Educational Leadership,10.1007/978-3-319-61742-6_1
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_2,"Kuhlthau, C. C.",Seeking meaning: A process approach to library and information services,1993,School Libraries Worldwide,10.1108/02642779310045765
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_3,"Lloyd, A.","Information literacy landscapes: Information literacy in education, workplace and community contexts",2010,Library & Information Science Research,10.1016/j.lisr.2010.01.002
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_4,"Sonnenwald, D. H.",Communication approaches to information seeking and use,1996,Annual Review of Information Science and Technology,10.1002/aris.1440310104
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_5,"Spink, A. & Cole, C.",Human information behavior,2006,Information Processing & Management,10.1016/j.ipm.2005.06.006
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_6,"Case, D. O.","Looking for information: A survey of research on information seeking, needs, and behavior",2002,Academic Press,10.1016/B978-012163651-0/50003-8
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_7,"Savolainen, R.",Information seeking and retrieval,2007,Annual Review of Information Science and Technology,10.1002/aris.2007.1440410106
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_8,"Chatman, E. A.",The information world of retired women,1996,The Library Quarterly,10.1086/602804
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_9,"Taylor, R. S.",Information use environments,1991,Progress in Communication Sciences,10.1016/S0163-5694(08)60005-8
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_10,"Johnson, C. A.",Information literacy and the American high school: A case study,2000,School Library Media Research,10.1007/978-3-319-61742-6_1
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_11,"Gross, M.",The impact of information literacy instruction on student self-efficacy,2005,College & Research Libraries,10.5860/crl.66.6.530
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_12,"Julien, H.",Information literacy and the workplace: A review of the literature,2002,Library & Information Science Research,10.1016/S0740-8188(02)00120-4
United States,High Income,Use,Gemini-Flash-Lite,United States_Use_13,"Limberg, L.",Information seeking and the construction of meaning: A study of adolescents' use of information in everyday situations,1999,Information Research,10.1007/978-3-319-61742-6_1
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_1,"Bakshy, E., Messing, S., & Adamic, L. A.",Exposure to ideologically diverse news and opinion on Facebook,2015,Science,10.1126/science.aaa1160
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_2,"Vosoughi, S., Fowler, J. H., & Aral, S.",The spread of true and false news online,2018,Science,10.1126/science.aau4585
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_3,"Guess, A., Nyhan, B., & Reifler, J.",Exposure to untrustworthy websites in the 2016 US presidential election,2018,Nature Human Behaviour,10.1038/s41562-018-0335-5
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_4,"Shu, K., Sliva, A., Wang, S., Tang, J., & Liu, H.",Fake news detection on social media: A data mining perspective,2017,SIGKDD Explorations,10.1145/3137597.3137600
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_5,"Pennycook, G., & Rand, D. G.",The psychology of fake news,2019,Trends in Cognitive Sciences,10.1016/j.tics.2019.09.005
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_6,"Lazer, D. M. J., et al.",The science of fake news,2018,Science,10.1126/science.aao2998
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_7,"Bessi, A., Coletto, P., Vaccari, C., & Scala, A.",Social media and political participation: The role of echo chambers and filter bubbles,2016,"Information, Communication & Society",10.1080/1369118X.2016.1203258
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_8,"Mutz, D. C., & Martin, P. S.",Facilitating communication across lines of political difference: The role of mass media,2001,American Political Science Review,10.2307/2659160
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_9,"Bennett, W. L., & Iyengar, S.",The role of media in American politics,2008,Annual Review of Political Science,10.1146/annurev.polisci.11.050506.183002
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_10,"Delli Carpini, M. X., & Keeter, S.",What Americans know about politics and why it matters,1996,Yale University Press,10.2307/j.ctt1fxt00g
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_11,"McCombs, M. E., & Shaw, D. L.",The agenda-setting function of mass media,1972,Public Opinion Quarterly,10.1086/268061
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_12,"Chaffee, S. H., & Berger, C. R.",Selective exposure: Antecedents and consequences,1987,Advances in Experimental Social Psychology,10.1016/S0065-2601(08)60391-4
United States,High Income,Sharing,Gemini-Flash-Lite,United States_Sharing_13,"Eveland Jr., W. P.","The effects of political discussion in producing informed citizens: The roles of information, motivation, and discussion networks",2004,Political Communication,10.1080/10584600490438097
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_1,"Taylor, R. S.",Information needs of individuals,1968,Annual Review of Information Science and Technology,10.1002/aris.1400030103
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_2,"Chatman, E. A.",The information world of low-income women,1992,Library & Information Science Research,10.1016/0740-8188(92)90003-3
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_3,"Case, D. O.","Looking for information: A survey of research on information seeking, needs, and behavior",2012,Emerald Publishing Limited,10.1108/9781780520083
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_4,"Kuhlthau, C. C.",Seeking meaning: A process approach to library and information services,1993,Libraries Unlimited,10.1007/978-3-319-61755-3_1
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_5,"Spink, A.; & Cole, C.",Human information behavior,2006,Information Processing & Management,10.1016/j.ipm.2005.06.003
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_6,"Hsieh-Yee, I.",Information needs and information seeking behavior of the elderly: A review of the literature,1993,Library & Information Science Research,10.1016/0740-8188(93)90010-4
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_7,"Vakkari, P.",Information seeking in context: A review of research on information needs and information seeking,2003,Annual Review of Information Science and Technology,10.1002/aris.1450370106
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_8,"Fisher, K. E.; Erdelez, S.; & McKechnie, L.",Theories of information behavior,2005,"Information Today, Inc.",10.1007/978-3-319-61755-3_2
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_9,"Johnson, J. D.",Information seeking: An overview,1997,Annual Review of Information Science and Technology,10.1002/aris.1400320103
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_10,"Taylor, R. S.",Question-negotiation and information seeking in libraries,1962,College & Research Libraries,10.5860/crl.23.3.247
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_11,"Bates, M. J.",Information search tactics,1979,Information Processing & Management,10.1016/0306-4573(79)90006-X
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_12,"Marchionini, G.",Information seeking in electronic environments,1995,Cambridge University Press,10.1017/CBO9780511558045
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_13,"Allen, B. R.",Cognitive abilities and information retrieval,1996,Annual Review of Information Science and Technology,10.1002/aris.1400310105
United States,High Income,Needs,Gemini-Flash-Lite,United States_Needs_14,"Ingwersen, P.",Information retrieval interaction,1992,Taylor Graham,10.1007/978-3-319-61755-3_3
United States,High Income,Behavior,Gemini-Flash-Lite,United States_Behavior_1,"Bates, M. J.",Information behavior,2005,Annual Review of Information Science and Technology,10.1002/aris.2000
United States,High Income,Behavior,Gemini-Flash-Lite,United States_Behavior_2,"Case, D. O.","Looking for information: A survey of research on information seeking, needs, and behavior",2016,Emerald Publishing Limited,10.1108/S0276-3977(2016)0000052002
United States,High Income,Behavior,Gemini-Flash-Lite,United States_Behavior_3,"Kuhlthau, C. C.",Seeking meaning: A process approach to library and information services,1993,Libraries Unlimited,10.4324/9781003056788-1
United States,High Income,Behavior,Gemini-Flash-Lite,United States_Behavior_4,"Chatman, E. A.",The information world of low-income women,1992,Library & Information Science Research,10.1016/0740-8188(92)90003-Y
United States,High Income,Behavior,Gemini-Flash-Lite,United States_Behavior_5,"Taylor, R. S.",Information use environments,1991,Progress in Communication Sciences,10.1016/S0163-6847(08)60006-4
United States,High Income,Behavior,Gemini-Flash-Lite,United States_Behavior_6,"Fisher, K. E., Erdelez, S., & McKechnie, L.",Theories of information behavior,2005,Information Today,10.1007/978-3-540-28260-8_1
United States,High Income,Behavior,Gemini-Flash-Lite,United States_Behavior_7,"Johnson, J. D.",Information seeking: An overview,1997,Annual Review of Information Science and Technology,10.1002/aris.1400320104
United States,High Income,Behavior,Gemini-Flash-Lite,United States_Behavior_8,"Vakkari, P.",Information seeking in context: A review of research on information seeking in work settings,2003,Information Research,10.4324/9781003056788-1
United States,High Income,Behavior,Gemini-Flash-Lite,United States_Behavior_9,"Hsieh-Yee, I.",Information needs and information-seeking behaviors of the elderly: A review of the literature,1993,Library & Information Science Research,10.1016/0740-8188(93)90010-4
United States,High Income,Behavior,Gemini-Flash-Lite,United States_Behavior_10,"Sonnenwald, D. H.",Information seeking and use in interdisciplinary contexts,1996,Annual Review of Information Science and Technology,10.1002/aris.1400310105
